"MAdisID","LEAIDtarget","target","targetrow","nmatch","numSchoolstarget","GSLOtarget","GSHItarget","MAdisIDmatch","LEAID","matchdis","OPERATIONAL_SCHOOLS","GSLO","GSHI"
"04450000","2500051","Abby Kelley Foster Charter Public (District)",1,10,"1","KG","12","04450000","2500051","Abby Kelley Foster Charter Public (District)","1","KG","12"
"04450000","2500051","Abby Kelley Foster Charter Public (District)",0,10,"1","KG","12","04910000","2500041","Atlantis Charter (District)","1","KG","12"
"04450000","2500051","Abby Kelley Foster Charter Public (District)",0,10,"1","KG","12","04280000","2500071","Brooke Charter School (District)","1","KG","12"
"04450000","2500051","Abby Kelley Foster Charter Public (District)",0,10,"1","KG","12","35030000","2500545","Collegiate Charter School of Lowell (District)","1","KG","11"
"04450000","2500051","Abby Kelley Foster Charter Public (District)",0,10,"1","KG","12","04100000","2500075","Excel Academy Charter (District)","1","5","12"
"04450000","2500051","Abby Kelley Foster Charter Public (District)",0,10,"1","KG","12","04290000","2500082","KIPP Academy Lynn Charter (District)","1","KG","12"
"04450000","2500051","Abby Kelley Foster Charter Public (District)",0,10,"1","KG","12","35130000","2500559","New Heights Charter School of Brockton (District)","1","6","12"
"04450000","2500051","Abby Kelley Foster Charter Public (District)",0,10,"1","KG","12","04940000","2500518","Pioneer Charter School of Science (District)","1","KG","12"
"04450000","2500051","Abby Kelley Foster Charter Public (District)",0,10,"1","KG","12","04870000","2500046","Prospect Hill Academy Charter (District)","1","PK","12"
"04450000","2500051","Abby Kelley Foster Charter Public (District)",0,10,"1","KG","12","04840000","2500063","Roxbury Preparatory Charter (District)","1","5","12"
"00010000","2501650","Abington",1,11,"5","PK","12","00010000","2501650","Abington","5","PK","12"
"00010000","2501650","Abington",0,11,"5","PK","12","00050000","2501800","Agawam","8","PK","12"
"00010000","2501650","Abington",0,11,"5","PK","12","01410000","2506390","Hudson","5","PK","12"
"00010000","2501650","Abington",0,11,"5","PK","12","01610000","2507050","Ludlow","4","PK","12"
"00010000","2501650","Abington",0,11,"5","PK","12","01720000","2507440","Mashpee","4","PK","12"
"00010000","2501650","Abington",0,11,"5","PK","12","01860000","2507890","Millbury","3","PK","12"
"00010000","2501650","Abington",0,11,"5","PK","12","07120000","2500544","Monomoy Regional School District","4","PK","12"
"00010000","2501650","Abington",0,11,"5","PK","12","01970000","2508250","Nantucket","4","PK","12"
"00010000","2501650","Abington",0,11,"5","PK","12","02850000","2511250","Stoughton","8","PK","12"
"00010000","2501650","Abington",0,11,"5","PK","12","03460000","2513170","Winthrop","4","PK","12"
"00010000","2501650","Abington",0,11,"5","PK","12","03470000","2513200","Woburn","10","PK","12"
"04120000","2500021","Academy Of the Pacific Rim Charter Public (District)",1,11,"1","5","12","04120000","2500021","Academy Of the Pacific Rim Charter Public (District)","1","5","12"
"04120000","2500021","Academy Of the Pacific Rim Charter Public (District)",0,11,"1","5","12","35090000","2500552","Argosy Collegiate Charter School (District)","1","6","12"
"04120000","2500021","Academy Of the Pacific Rim Charter Public (District)",0,11,"1","5","12","35020000","2500550","Baystate Academy Charter Public School (District)","1","6","12"
"04120000","2500021","Academy Of the Pacific Rim Charter Public (District)",0,11,"1","5","12","04110000","2500526","Boston Green Academy Horace Mann Charter School (District)","1","6","12"
"04120000","2500021","Academy Of the Pacific Rim Charter Public (District)",0,11,"1","5","12","04160000","2500080","Boston Preparatory Charter Public (District)","1","6","12"
"04120000","2500021","Academy Of the Pacific Rim Charter Public (District)",0,11,"1","5","12","04380000","2500070","Codman Academy Charter Public (District)","1","PK","12"
"04120000","2500021","Academy Of the Pacific Rim Charter Public (District)",0,11,"1","5","12","39010000","2500551","Greenfield Commonwealth Virtual District","1","KG","12"
"04120000","2500021","Academy Of the Pacific Rim Charter Public (District)",0,11,"1","5","12","04660000","2500035","Martha's Vineyard Charter (District)","1","KG","12"
"04120000","2500021","Academy Of the Pacific Rim Charter Public (District)",0,11,"1","5","12","04440000","2500029","Neighborhood House Charter (District)","1","PK","12"
"04120000","2500021","Academy Of the Pacific Rim Charter Public (District)",0,11,"1","5","12","07550000","2509900","Ralph C Mahar","1","7","12"
"04120000","2500021","Academy Of the Pacific Rim Charter Public (District)",0,11,"1","5","12","04740000","2500073","Sizer School: A North Central Charter Essential (District)","1","7","12"
"06000000","2501710","Acton-Boxborough",1,11,"9","PK","12","06000000","2501710","Acton-Boxborough","9","PK","12"
"06000000","2501710","Acton-Boxborough",0,11,"9","PK","12","00100000","2501980","Arlington","11","PK","12"
"06000000","2501710","Acton-Boxborough",0,11,"9","PK","12","00260000","2502490","Belmont","6","PK","12"
"06000000","2501710","Acton-Boxborough",0,11,"9","PK","12","01390000","2506330","Hopkinton","6","PK","12"
"06000000","2501710","Acton-Boxborough",0,11,"9","PK","12","01550000","2506840","Lexington","10","PK","12"
"06000000","2501710","Acton-Boxborough",0,11,"9","PK","12","01780000","2507620","Melrose","8","PK","12"
"06000000","2501710","Acton-Boxborough",0,11,"9","PK","12","01980000","2508340","Natick","8","PK","12"
"06000000","2501710","Acton-Boxborough",0,11,"9","PK","12","01990000","2508370","Needham","8","PK","12"
"06000000","2501710","Acton-Boxborough",0,11,"9","PK","12","02660000","2510620","Sharon","6","PK","12"
"06000000","2501710","Acton-Boxborough",0,11,"9","PK","12","03260000","2512660","Westford","9","PK","12"
"06000000","2501710","Acton-Boxborough",0,11,"9","PK","12","03440000","2513110","Winchester","7","PK","12"
"00030000","2501740","Acushnet",1,11,"2","PK","8","00030000","2501740","Acushnet","2","PK","8"
"00030000","2501740","Acushnet",0,11,"2","PK","8","00270000","2502520","Berkley","2","PK","8"
"00030000","2501740","Acushnet",0,11,"2","PK","8","00670000","2503840","Concord","4","PK","8"
"00030000","2501740","Acushnet",0,11,"2","PK","8","01090000","2505340","Gosnold","1","UG","UG"
"00030000","2501740","Acushnet",0,11,"2","PK","8","01570000","2506900","Lincoln","3","PK","8"
"00030000","2501740","Acushnet",0,11,"2","PK","8","02130000","2508880","Northborough","5","KG","8"
"00030000","2501740","Acushnet",0,11,"2","PK","8","02630000","2510530","Savoy","1","PK","6"
"00030000","2501740","Acushnet",0,11,"2","PK","8","02730000","2510860","Somerset","4","PK","8"
"00030000","2501740","Acushnet",0,11,"2","PK","8","02760000","2510980","Southborough","4","PK","8"
"00030000","2501740","Acushnet",0,11,"2","PK","8","02880000","2511340","Sudbury","5","PK","8"
"00030000","2501740","Acushnet",0,11,"2","PK","8","07740000","2500043","Up-Island Regional","2","PK","8"
"04300000","2500085","Advanced Math and Science Academy Charter (District)",1,11,"1","6","12","04300000","2500085","Advanced Math and Science Academy Charter (District)","1","6","12"
